name,price,size,color,rpm,airflow,noise_level,pwm
Lian Li Uni Fan SL-Infinity 3-Pack,84.0,120,Black,0.0,"0,61.3","0,29",True
Corsair iCUE SP120 RGB ELITE 3-Pack,59.99,120,Black / White,4001500.0,Unknown,Unknown,True
Lian Li Uni Fan SL-Infinity 3-Pack,83.9,120,White,0.0,"0,61.3","0,29",True
Noctua NF-A12x25 PWM chromax.black.swap,34.95,120,Black,4502000.0,60.09,22.6,True
Lian Li Uni Fan SL-Infinity,29.99,120,Black,0.0,"0,61.3","0,29",True
Lian Li UNI FAN SL V2 3-Pack,82.99,120,White / Silver,2502000.0,64.5,29.2,True
ARCTIC P12 PST 5-Pack,34.99,120,Black,2001800.0,56.3,22.5,True
Lian Li UNI FAN SL-INF Reverse Blade,35.72,120,White / Black,2002100.0,63.6,32,True
Lian Li Uni Fan SL-Infinity,26.99,120,White,0.0,"0,61.3","0,29",True
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,124.99,120,Black,4802400.0,"16.44,63.1",Unknown,True
Lian Li UNI FAN SL-INF Reverse Blade,29.99,120,White,2002100.0,63.6,32,True
Lian Li UNI FAN SL V2 3-Pack,77.99,120,Black / Silver,2502000.0,64.5,29.2,True
Thermalright TL-C12C X3 3-Pack,11.9,120,Black,1550.0,66.17,25.6,True
NZXT F120 RGB 3-Pack,77.33,120,White,5001800.0,"13.94,50.18","17.2,27.5",True
NZXT F120 RGB Core,0.0,120,White,5001800.0,78.86,33.88,True
Noctua A14 PWM chromax.black.swap,26.95,140,Multicolor,3001500.0,82.52,24.6,True
ARCTIC P12,8.99,120,Black,2001800.0,56.3,Unknown,True
Thermalright TL-C12C-S X3 3-Pack,13.59,120,Black,1550.0,66.17,25.6,True
Noctua A12x25 PWM,32.95,120,Brown,4502000.0,"49.73,60.1","18.8,22.6",True
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,159.99,120,White,4802400.0,"16.44,63.1",Unknown,True
Deepcool FC120-3 IN 1 3-Pack,34.99,120,Black,5001800.0,61.91,28,True
Corsair ML120 PRO 3-Pack,166.1,120,Black / White,4001600.0,47.3,25,True
NZXT F120 RGB 3-Pack,77.33,120,Black,5001800.0,"13.94,50.18","17.2,27.5",True
be quiet! Silent Wings Pro 4,27.9,120,Black,3000.0,83.9,36.9,True
ARCTIC P12 Max,9.99,120,Black,2003300.0,81.04,Unknown,True
Lian Li Uni Fan SL-Infinity,29.99,140,Black,2001600.0,72.7,28,True
Thermalright TL-C12CW-S X3 3-Pack,13.19,120,White,1550.0,66.17,25.6,True
Noctua P12 redux-1700 PWM,15.95,120,Gray,4501700.0,70.75,25.1,True
NZXT F120 RGB Core,0.0,120,Black,5001800.0,78.86,33.88,True
Noctua A14 PWM,23.95,140,Brown,3001500.0,"68,82.5","19.2,24.6",True
Lian Li Uni Fan SL-Infinity,29.99,140,White,2001600.0,72.7,28,True
ARCTIC P12 Max 5-Pack,35.99,120,Black,2003300.0,81.04,Unknown,True
Corsair iCUE AR120 Digital RGB 3-Pack,44.99,120,Black,4001850.0,"10.7,59","10,27.3",True
Corsair iCUE SP120 RGB ELITE,19.98,120,Black / White,4001500.0,Unknown,Unknown,True
be quiet! Pure Wings 2,9.9,120,Black,5001500.0,"51.4,87",20.2,True
Corsair iCUE AF120 RGB ELITE 3-Pack,76.3,120,Black,5502100.0,"13.8,65.57","5,34.1",True
Thermalright TL-C12B-S V3 X3 3-Pack,16.89,120,Black,1500.0,66.17,25.6,True
Deepcool FK120 3-Pack,29.99,120,Unknown,5001850.0,68.99,28,True
ARCTIC P14 PST,12.99,140,Black,2001700.0,72.8,22.5,True
be quiet! Silent Wings Pro 4,27.9,140,Black,2400.0,97.41,36.8,True
Lian Li UNI FAN SL V2,26.99,120,Black / Silver,2502000.0,64.5,29.2,True
Thermalright TL-C12C-S,0.0,120,Black,1550.0,66.17,25.6,True
