name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,33.9,1550.0,25.6,Black,0.0
NZXT Kraken Elite 360 RGB,273.99,5001800.0,"17.9,30.6",White,360.0
Deepcool GAMMAXX AG400 ARGB,29.99,5002000.0,31.6,Black,0.0
Corsair iCUE H150i ELITE CAPELLIX XT,189.99,5502100.0,"5,34.1",Black,360.0
Cooler Master MASTERLIQUID ML240L RGB V2,99.99,6501800.0,"6,27",Black,240.0
Noctua NH-D15 chromax.black,119.95,3001500.0,"19.2,24.6",Black,0.0
NZXT Kraken 240,120.99,5001800.0,"17.9,30.6",Black,240.0
Thermalright Phantom Spirit 120 SE,35.9,1500.0,25.6,Black / Silver,0.0
Deepcool AK620 ZERO DARK,61.98,5001850.0,28,Black,0.0
ARCTIC Liquid Freezer III,116.99,2001800.0,Unknown,Black,360.0
Cooler Master Hyper 212 Black Edition,29.99,6502000.0,"6.5,26",Black,0.0
NZXT Kraken Elite 360 RGB,275.99,5001800.0,"17.9,30.6",Black,360.0
Deepcool LS720 SE WH,97.99,5002250.0,"28.2,32.9",White,360.0
Thermalright Assassin X 120 Refined SE,17.89,1550.0,25.6,Black / Silver,0.0
Deepcool LS720 SE,92.18,5002250.0,"28.2,32.9",Black,360.0
Thermalright Peerless Assassin 120 SE WHITE ARGB,36.99,1550.0,25.6,White,0.0
Noctua NH-D15,109.95,3001500.0,"19.2,24.6",Unknown,0.0
Corsair iCUE H100x RGB ELITE,99.99,1500.0,"7,28",Black,240.0
Thermalright Phantom Spirit 120 SE ARGB,36.9,1500.0,25.6,Black / Silver,0.0
Corsair iCUE H100i RGB ELITE,119.99,4001850.0,"5,28.9",Black,240.0
Deepcool AK400,33.49,5001850.0,29,Black / Silver,0.0
ID-COOLING SE-214-XT,17.98,5001500.0,"13.8,30.5",Black,0.0
ARCTIC Liquid Freezer III,99.99,2001800.0,Unknown,Black,240.0
Corsair iCUE H150i ELITE LCD XT,249.99,5502100.0,"5,34.1",Black,360.0
Noctua NH-U12S chromax.black,89.95,3001500.0,"18.6,22.4",Black,0.0
NZXT Kraken 360,0.0,5001800.0,"17.9,30.6",Black,360.0
NZXT Kraken 240 RGB,172.99,5001800.0,"17.9,30.6",White,240.0
be quiet! Pure Rock 2 Black,37.9,1500.0,"19.1,26.8",Black,0.0
Deepcool LT720,106.24,5002250.0,32.9,Black / Gray,360.0
NZXT Kraken Elite 360,266.99,5001800.0,"17.9,30.6",Black,360.0
AMD Wraith Prism,56.0,2800.0,42,Unknown,0.0
ARCTIC Liquid Freezer III A-RGB,139.99,2002000.0,Unknown,Black,360.0
Corsair H105,869.03,8002700.0,37.7,Unknown,240.0
Thermalright Frozen Notte ARGB,53.9,2000.0,27.7,Black,240.0
Thermalright Frozen Notte ARGB,66.9,2000.0,27.7,White,360.0
NZXT Kraken 360 RGB,256.54,5001800.0,"17.9,30.6",White,360.0
Deepcool AK620 DIGITAL,73.98,5001850.0,28,Black,0.0
be quiet! Dark Rock Pro 5,79.9,13002000.0,"8.9,23.3",Black,0.0
Lian Li Galahad II Trinity SL-INF,169.95,2100.0,29,Black,360.0
Cooler Master MasterLiquid 360L Core ARGB,85.67,3501750.0,27.2,Black,360.0
Noctua NH-U12A chromax.black,129.94,4502000.0,"18.8,22.6",Black,0.0
Lian Li Galahad II Trinity SL-INF,164.99,2100.0,29,White,360.0
Thermalright Frozen Notte ARGB,64.9,2000.0,27.7,Black,360.0
Thermalright Assassin X Refined SE ARGB,18.89,1550.0,25.6,Black / Silver,0.0
Thermalright Phantom Spirit EVO,0.0,2150.0,27,Black,0.0
Thermalright Peerless Assassin 120 SE ARGB,33.9,1550.0,25.6,Black,0.0
Intel E97379-001,8.99,12002800.0,22,Silver / Black,0.0
Deepcool AK400 DIGITAL,46.77,5001850.0,28,Black,0.0
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,6002500.0,"14.8,23.6",Black,0.0
Asus ROG Ryujin III ARGB,339.99,6002200.0,36.45,Black,360.0
Deepcool AK400,33.7,5001850.0,29,White,0.0
NZXT Kraken 360 RGB,219.99,5001800.0,"17.9,30.6",Black,360.0
Thermalright Assassin King SE ARGB,20.09,1550.0,25.6,White,0.0
NZXT Kraken 240 RGB,160.99,5001800.0,"17.9,30.6",Black,240.0
Deepcool LS520 SE,74.99,5002250.0,"28.2,32.9",Black,240.0
Corsair iCUE H150i ELITE CAPELLIX XT,199.99,5502100.0,Unknown,White,360.0
ARCTIC Liquid Freezer III A-RGB,142.99,2002000.0,Unknown,White,360.0
be quiet! Dark Rock Pro 4,0.0,1500.0,"12.8,24.3",Black,0.0
Noctua NH-L9i-17xx chromax.black,54.95,6002500.0,"14.8,23.6",Black,0.0
Lian Li Galahad II LCD SL-INF,280.62,0.0,29,Black,360.0
Deepcool AK620,54.99,5001850.0,28,White,0.0
Noctua NH-L9a-AM4,44.95,6002500.0,"14.8,23.6",Brown,0.0
Lian Li Galahad II LCD SL-INF,269.99,0.0,29,White,360.0
Deepcool AK620,54.99,5001850.0,28,Black / Silver,0.0
Thermalright Frozen Notte ARGB,50.9,2000.0,27.7,White,240.0
Deepcool AK400 ZERO DARK,39.98,5001850.0,29,Black,0.0
Deepcool AK500 ZERO DARK,45.98,5001850.0,"25.9,31.5",Black,0.0
Deepcool LT720 WH,99.99,5002250.0,32.9,White,360.0
ARCTIC Freezer 36,36.99,2001800.0,Unknown,Black,0.0
Cooler Master Hyper 212 RGB Black Edition,56.99,6502000.0,"8,30",Unknown,0.0
Noctua NH-L12S,64.9,4501850.0,"16.8,23.9",Unknown,0.0
Deepcool LT520,84.69,5002250.0,32.9,Black / Gray,240.0
Cooler Master Hyper 212 Spectrum V3,20.98,6501750.0,27.2,Black / Silver,0.0
Asus ROG RYUJIN II,499.0,4502000.0,29.7,Black,360.0
be quiet! Dark Rock 4,109.67,1400.0,Unknown,Black,0.0
Corsair iCUE H100i ELITE CAPELLIX XT,144.99,5502100.0,"5,34.1",Black,240.0
ARCTIC Liquid Freezer III,111.99,2001700.0,Unknown,Black,280.0
Deepcool ASSASSIN IV,84.99,5001700.0,"22.6,29.3",Black,0.0
Corsair iCUE LINK H150i LCD,224.99,4802400.0,Unknown,Black,360.0
Lian Li Galahad II Trinity,119.0,2450.0,35.4,White,360.0
Corsair iCUE H150i ELITE LCD XT,259.99,5502100.0,"5,31.1",White / Gray,360.0
ARCTIC Liquid Freezer III,127.99,2001700.0,Unknown,Black,420.0
Thermalright AXP90-X47,22.9,2700.0,22.4,Black,0.0
ARCTIC Liquid Freezer II 280,94.99,2001700.0,Unknown,Black,280.0
NZXT T120 RGB,49.99,5001800.0,"17.2,27.5",Black,0.0
be quiet! Pure Rock Slim 2,24.9,0.0,"13.1,25.4",Black / Silver,0.0
Asus ROG STRIX LC II ARGB,129.99,8002500.0,37.6,Black,360.0
Noctua NH-D9L,54.95,4002000.0,"16.3,22.8",Unknown,0.0
Cooler Master MasterLiquid ML240L ARGB V2,59.99,6501800.0,"8,27",Black,240.0
Thermalright Assassin Spirit 120 EVO,22.9,2000.0,28.2,Black,0.0
Thermalright Phantom Spirit,37.9,1500.0,25.6,Black / Silver,0.0
Deepcool LS720,139.0,5002250.0,32.9,Black,360.0
NZXT Kraken Elite 240,159.99,5001800.0,"17.9,30.6",Black,240.0
Noctua NH-U9S chromax.black,69.95,4002000.0,"16.3,22.8",Black,0.0
Noctua NH-L9A-AM5,44.95,6002500.0,"14.8,23.6",Brown / Silver,0.0
Corsair iCUE H150i RGB ELITE,179.99,4001850.0,"19,35.8",Black,360.0
Corsair iCUE LINK H150i LCD,284.99,4802400.0,Unknown,White,360.0
Thermalright Assassin X SE,16.89,2200.0,23.85,Black / Silver,0.0
Noctua NH-D15S chromax.black,109.95,3001500.0,"19.2,24.6",Black,0.0
NZXT Kraken Z73,379.0,5001800.0,"21,36",Black,360.0
NZXT Kraken Elite 280 RGB,189.99,5001500.0,34.48,White,280.0
NZXT Kraken Elite 240 RGB,236.76,5001800.0,"17.9,30.6",White,240.0
Cooler Master Hyper 212 (2023),29.99,6902500.0,32.8,Black,0.0
Noctua NH-L9x65 chromax.black,69.9,6002500.0,"14.8,23.6",Black,0.0
ID-COOLING SE-214-XT,17.98,5001500.0,"13.8,30.5",White,0.0
MSI MAG CORELIQUID 360R V2,104.0,5002000.0,"14.3,34.3",Black,360.0
Cooler Master Hyper 212 Black Edition,92.99,8002000.0,"6.5,26",Unknown,0.0
Cooler Master MASTERLIQUID ML120L RGB V2,59.99,6501800.0,"6,27",Black,120.0
Corsair iCUE H150i ELITE LCD,399.0,4502000.0,"10,30.4",Black,360.0
Thermalright Assassin X Refined SE ARGB,19.29,1550.0,25.6,White / Silver,0.0
Corsair iCUE LINK H150i RGB,204.99,4802400.0,Unknown,Black,360.0
Noctua NH-L9i chromax.black,54.95,6002500.0,"14.8,23.6",Black,0.0
Deepcool MYSTIQUE,179.99,5002150.0,36.49,Black,360.0
ARCTIC Liquid Freezer II 360,0.0,8002000.0,Unknown,Black,360.0
NZXT T120 RGB,39.99,5001800.0,"17.2,27.5",White,0.0
ARCTIC Liquid Freezer II 420,109.99,2001700.0,Unknown,Black,420.0
Deepcool AK400 ZERO DARK PLUS,44.99,5001650.0,28,Black,0.0
Iceberg Thermal IceFLOE T95,9.99,10002200.0,32.3,Teal / Silver,0.0
ID-COOLING IS-55 Black,39.99,5002000.0,31.2,Black,0.0
NZXT Kraken 280,144.99,5001500.0,"19.4,32.1",Black,280.0
ARCTIC Liquid Freezer II 240,0.0,2001800.0,Unknown,Black,240.0
Thermalright Aqua Elite V3,55.9,1500.0,25.6,White,360.0
ID-COOLING FROZN A410 BLACK,29.99,5002000.0,29.85,Black,0.0
Thermalright Peerless Assassin,32.9,1550.0,25.6,Gray,0.0
Corsair iCUE H100i ELITE CAPELLIX XT,179.99,5502100.0,"5,34.1",White,240.0
Noctua NH-U12A,119.95,4502000.0,"18.8,22.6",Brown,0.0
Thermalright Peerless Assassin 120 Black,46.9,1550.0,25.6,Black,0.0
Corsair iCUE H170i ELITE CAPELLIX,331.98,2000.0,"10,37",Black,420.0
Lian Li Galahad II Trinity Performance,159.99,23003000.0,"32.1,39.9",Black,360.0
Thermalright AXP90-X47,35.9,2700.0,22.4,Orange / Brown,0.0
NZXT Kraken 120,79.98,5002000.0,"21,36",Black,120.0
Thermalright Aqua Elite V3,49.9,1500.0,25.6,Black,240.0
Corsair iCUE H150i ELITE CAPELLIX,286.95,2400.0,"10,37",Black,360.0
Cooler Master MasterLiquid 240L Core ARGB,79.99,3501750.0,27.2,Black,240.0
Asus ROG Ryujin III,342.96,6002200.0,36.45,White,360.0
Scythe Fuma 3,49.99,2001500.0,"4,28.6",Black / Silver,0.0
ID-COOLING FROSTFLOW X,54.99,7001800.0,"18,35.2",Unknown,240.0
NZXT Kraken Z73 RGB,369.99,5001500.0,"22,33",White / Black,360.0
Thermalright Frozen Edge,43.9,2150.0,28.1,Black,240.0
ARCTIC Liquid Freezer III A-RGB,105.9,2002000.0,Unknown,Black,240.0
Deepcool LE720,160.99,5002250.0,32.9,Black,360.0
Cooler Master Hyper 212 EVO,80.26,6002000.0,"9,36",Unknown,0.0
Corsair iCUE H170i ELITE LCD XT,299.99,5001700.0,"5,33.8",Black,420.0
Corsair iCUE H60x RGB ELITE,79.99,1500.0,"7,28",Black,120.0
Deepcool GAMMAXX AG400 ARGB,29.99,5002000.0,31.6,White,0.0
