name,price,type,interface,capacity,price_per_gb,color
Apricorn Aegis Fortress L3,12999.0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.65,Black
Western Digital My Book Duo,1199.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000,0.027,Black
Apricorn Padlock DT FIPS,661.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.066,Black
Apricorn Padlock DT FIPS,1172.46,Desktop,USB Type-A 3.2 Gen 1,22000,0.053,Black
Western Digital ELEMENTS,64.98,Portable,USB Type-A 3.2 Gen 1,1000,0.065,Unknown
Western Digital My Book Duo,1049.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000,0.029,Black
Apricorn Aegis Fortress,383.88,Portable,USB Type-A 3.2 Gen 1,1000,0.384,Black
Western Digital WD_BLACK P10,134.85,Portable,USB Type-A 3.2 Gen 1,5000,0.027,Black
Samsung T5 EVO Portable,599.99,Portable,USB Type-C 3.2 Gen 1,8000,0.075,Black
Samsung T9 Portable,359.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.09,Black
Sabrent Rocket XTRM-Q,0.0,Desktop,USB Type-C 3.2 Gen 2,16000,0.0,Unknown
Western Digital My Passport,106.64,Portable,USB Type-A 3.2 Gen 1,4000,0.027,Black
Western Digital ELEMENTS,159.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.02,Black
Seagate One Touch,85.98,Portable,USB Type-A 3.2 Gen 1,2000,0.043,Black
Western Digital easystore,279.99,Desktop,USB Type-A 3.2 Gen 1,14000,0.02,Black
Verbatim Vx460,33.31,Portable,USB Type-A 3.2 Gen 1,128,0.26,Black
Samsung T7 Shield,319.99,Portable,USB Type-C 3.2 Gen 2,4000,0.08,Black
Apricorn Aegis Fortress,2769.0,Portable,USB Type-A 3.2 Gen 1,8000,0.346,Black
Western Digital My Passport,69.75,Portable,USB Type-A 3.2 Gen 1,2000,0.035,Black
SanDisk Extreme Portable V2,299.99,Portable,USB Type-C 3.2 Gen 1,4000,0.075,Black / Orange
Seagate One Touch,499.99,Desktop,USB Type-A 3.2 Gen 1,18000,0.028,Black
