name,price,channels,channel_wattage,pwm,form_factor,color
ARCTIC Case Fan Hub,9.99,10,0.0,True,0.0,Black
Razer RZ34-02140700-R3M1,49.99,8,0.0,True,0.0,Black
Thermalright TL-FAN HUB X4,7.99,4,0.0,True,0.0,Black
Thermalright TL-FAN and ARGB HUB x8,0.0,4,0.0,True,0.0,Black
Thermaltake Commander FT,54.98,5,10.0,True,5.25,Unknown
Lamptron FC-FC5V2-B,69.95,4,30.0,False,5.25,Unknown
Thermalright TL-FAN-HUB-Controller,7.59,4,0.0,False,0.0,Black
Thermalright TL-FAN-HUB Controller Rev.A,0.0,10,0.0,True,0.0,Black
NZXT Sentry Mix 2,0.0,6,30.0,True,5.25,Unknown
Kingwin FPX-001,15.99,4,8.0,False,3.5,Unknown
NZXT SENTRY 3,0.0,5,15.0,True,5.25,Unknown
Thermaltake Commander F6 RGB,0.0,6,0.03,True,5.25,Black
NZXT Sentry LX,0.0,5,6.0,False,25.25,Unknown
Lamptron Fanatic,0.0,5,60.0,True,5.25,Unknown
Deepcool ROCK MASTER V3.0,0.0,4,10.0,True,5.25,Unknown
Lamptron FC-CF525-BK,0.0,5,60.0,True,5.25,Unknown
NZXT Sentry 2,0.0,5,10.0,False,5.25,Unknown
Aerocool Touch 2000,0.0,4,6.0,False,25.25,Unknown
BitFenix Recon (Black),0.0,5,10.0,True,5.25,Unknown
Thermaltake AC-001-BN1NAN-A1,0.0,5,8.0,True,5.25,Unknown
Scythe Kaze Master Flat II,0.0,4,36.0,False,5.25,Black
Silverstone FP59B,0.0,1,0.0,False,5.25,Black
Aerocool CoolTouch-R Black,0.0,4,20.0,True,5.25,Unknown
Aerocool F6XT,0.0,6,12.0,True,5.25,Unknown
Aerocool V12XT,0.0,4,6.0,False,25.25,Unknown
Gelid Solutions SpeedTouch6,0.0,6,30.0,True,5.25,Unknown
Lamptron FC Touch,0.0,6,30.0,True,5.25,Unknown
Lamptron FC-FC5V3-BK,0.0,6,30.0,True,5.25,Unknown
Aerocool X-Vision,0.0,5,0.008,False,5.25,Black
NZXT Sentry Mesh,0.0,5,30.0,False,5.25,Unknown
Aerocool Touch-1000,0.0,4,0.0,False,5.25,Unknown
BitFenix Recon (White),0.0,5,10.0,True,5.25,Unknown
Lamptron FC2,0.0,6,45.0,True,5.25,Unknown
Lamptron FC6,0.0,4,10.0,True,5.25,Unknown
Lamptron FC9,0.0,4,50.0,True,5.25,Unknown
Kingwin FPX-003,0.0,4,8.0,False,5.25,Unknown
Lamptron CW611-B,0.0,6,36.0,False,5.25,Unknown
Lamptron FC-FC2-B,0.0,6,45.0,False,5.25,Unknown
Lamptron FC-CM615-BK,0.0,6,15.0,False,5.25,Unknown
Lamptron FC-FANATIC-B,0.0,5,60.0,True,5.25,Unknown
Aerocool Touch 2100,0.0,5,25.0,False,25.25,Unknown
Aerocool Strike-X-X1000,0.0,5,25.0,False,5.25,Unknown
Kingwin FPX-005,0.0,5,8.0,True,5.25,Unknown
