name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999.0,Circumaural,675.0,False,False,Open,Silver / Brown
HP HyperX Cloud II,79.98,Circumaural,1525.0,True,False,Closed,Black / Red
Razer BlackShark V2 X,48.99,Circumaural,1228.0,True,False,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",298.52,Circumaural,1040.0,True,True,Closed,Black
Logitech Pro X,99.99,Circumaural,2020.0,True,False,Closed,Black
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,2020.0,True,True,Closed,Black
Beyerdynamic DT 770 PRO,169.0,Circumaural,535.0,False,False,Closed,Gray
Logitech G733,138.56,Circumaural,2020.0,True,True,Closed,White / Gray
Logitech G435,47.7,Circumaural,2020.0,True,True,Closed,Black / Yellow
Razer BlackShark V2 Pro (2023),194.0,Circumaural,1228.0,True,True,Closed,Black
SteelSeries Arctis 1,39.99,Circumaural,2020.0,True,False,Closed,Black
HP HyperX Cloud,0.0,Circumaural,1525.0,True,False,Closed,Black / White
Logitech PRO X 2 LIGHTSPEED,236.75,Circumaural,2020.0,True,True,Closed,White
Beyerdynamic DT990 Premium Limited-Edition,159.0,Circumaural,535.0,False,False,Open,Black
Corsair VOID RGB ELITE,79.98,Circumaural,2030.0,True,True,Closed,White
SteelSeries Arctis Nova 7,173.71,Circumaural,2022.0,True,True,Closed,Black
SteelSeries Arctis 1,87.24,Circumaural,2020.0,True,True,Closed,Black
Logitech G432,42.99,Circumaural,2020.0,True,False,Closed,Black / Blue
Sony XM5,398.0,Circumaural,440.0,True,True,Closed,Black
HP HyperX Cloud Alpha,74.48,Circumaural,1327.0,True,False,Closed,Black / Red
Astro A50 + Base Station,229.99,Circumaural,2020.0,True,True,Closed,Black / Gold
Beyerdynamic DT 990 Pro 250,0.0,Circumaural,535.0,False,False,Open,Black / Gray
Sennheiser HD 820,1799.95,Circumaural,648.0,False,False,Closed,Black
Razer BlackShark V2 Pro (2023),195.95,Circumaural,1228.0,True,True,Closed,White / Black
Logitech G733,134.98,Circumaural,2020.0,True,True,Closed,Black
Beyerdynamic DT1990 Pro,529.0,Circumaural,540.0,False,False,Open,Black
Sennheiser HD 650,349.95,Circumaural,1039.5,False,False,Open,Black
Corsair VOID RGB ELITE,79.98,Circumaural,2030.0,True,True,Closed,Black
Razer Barracuda Pro,196.99,Circumaural,2020.0,True,True,Closed,Black
Razer Barracuda X,99.0,Circumaural,2020.0,True,True,Closed,White / Gray
SteelSeries Arctis Nova 1,59.0,Circumaural,2022.0,True,False,Closed,White
Sennheiser HD 560S,179.95,Circumaural,638.0,False,False,Open,Black
Corsair VIRTUOSO RGB Wireless XT,269.99,Circumaural,2040.0,True,True,Closed,Black / Silver
Logitech ASTRO A50 X,379.99,Circumaural,2020.0,True,True,Closed,Black
HP HyperX Cloud III,129.99,Circumaural,1021.0,True,True,Closed,Black
Yamaha EPH-20PI,4.99,In Ear,2021.0,False,False,Closed,Black / Pink
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,2020.0,True,False,Closed,Black / Green
HP HyperX Cloud Alpha,199.99,Circumaural,1521.0,True,True,Closed,Black / Red
Corsair HS80 RGB,119.99,Circumaural,2040.0,True,True,Closed,Black
HP HyperX CloudX,44.99,Circumaural,1525.0,True,False,Closed,Black / Silver
Razer Kraken V3 X,44.99,Circumaural,1228.0,True,False,Closed,Black
Logitech Pro X,149.99,Circumaural,2020.0,True,True,Closed,Black
Sennheiser HD 800 S,1399.9,Circumaural,451.0,False,False,Open,Black / Silver
Audio-Technica ATH-M50x,149.0,Circumaural,1528.0,False,False,Closed,Black / Silver
HP HyperX Cloud II,119.99,Circumaural,1520.0,True,True,Closed,Black / Red
SteelSeries Arctis Pro,213.99,Circumaural,1040.0,True,True,Closed,Black
Razer Barracuda X,79.98,Circumaural,2020.0,True,True,Closed,Black
Corsair Virtuoso RGB,199.99,Circumaural,2040.0,True,True,Closed,White
Razer Kraken Kitty,120.0,Circumaural,2020.0,True,False,Closed,Pink
Razer BlackShark V2 Pro,129.99,Circumaural,1228.0,True,True,Closed,Black
SteelSeries Arctis Nova 1,49.0,Circumaural,2022.0,True,False,Closed,Black
Asus ROG Theta 7.1,219.99,Circumaural,2040.0,True,False,Closed,Black
Logitech G535 LIGHTSPEED,89.0,Circumaural,2020.0,True,True,Closed,Black / Blue
Audeze Maxwell for Xbox Series X|S,329.0,Circumaural,1050.0,True,True,Closed,Black / Green
Philips SHP9500,79.98,Circumaural,1235.0,False,False,Open,Black
Logitech G735,189.99,Circumaural,2020.0,True,True,Closed,White
Corsair HS80 MAX WIRELESS,179.99,Circumaural,2040.0,True,True,Closed,White / Gray
Sony WH1000XM4,348.0,Circumaural,2020.0,True,True,Closed,Black
Razer Kraken V3 Pro,175.0,Circumaural,2020.0,True,True,Closed,Black
Beyerdynamic DT 900 Pro X,232.99,Circumaural,540.0,False,False,Open,Black / Gray
HP HyperX Cloud II,94.99,Circumaural,1525.0,True,False,Closed,Gunmetal
Corsair HS65 SURROUND,69.98,Circumaural,2020.0,True,False,Closed,Black
HP HyperX Cloud Stinger Core - Wireless,89.99,Circumaural,1021.0,True,True,Closed,Black
Razer BlackShark V2,110.44,Circumaural,1228.0,True,False,Closed,Black / Green
Logitech ASTRO A50 X,379.99,Circumaural,2020.0,True,True,Closed,White
DROP Drop + Sennheiser PC38X,0.0,Circumaural,1030.0,True,False,Open,Black
Logitech UE 900,0.0,In Ear,2020.0,False,False,Closed,Black / Blue
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",329.99,Circumaural,1040.0,True,True,Closed,Black
Corsair HS80 MAX WIRELESS,179.99,Circumaural,2040.0,True,True,Closed,Gray / Black
SteelSeries Arctis Pro Wireless,0.0,Circumaural,1040.0,True,True,Closed,White
SteelSeries Arctis Nova 3,88.0,Circumaural,2022.0,True,False,Closed,Black
Beyerdynamic MMX 300 (2nd Generation),229.0,Circumaural,535.0,True,False,Closed,Black
HP HyperX Cloud III,95.1,Circumaural,1021.0,True,False,Closed,Black
HiFiMAN SUNDARA,299.0,Circumaural,675.0,False,False,Open,Black
SteelSeries ARCTIS 7 2019 Edition,204.99,Circumaural,2020.0,True,True,Closed,Black
Astro Gaming A40 TR + MixAmp Pro TR,392.94,Circumaural,2020.0,True,False,Closed,Black / Gold
Apple MD827LL/A,14.0,Earbud,0.0,True,False,Closed,White
HiFiMAN HE1000,1999.0,Circumaural,865.0,False,False,Open,Silver / Brown
Sennheiser HD600,349.95,Circumaural,1239.0,False,False,Open,Black
Logitech G935,119.99,Circumaural,2020.0,True,True,Closed,Black / Blue
HP HyperX Cloud III,129.99,Circumaural,1021.0,True,True,Closed,Black / Red
Astro Gaming A10,37.99,Circumaural,2020.0,True,False,Closed,Black / Blue
SteelSeries Arctis Nova Pro,200.36,Circumaural,1040.0,True,False,Closed,Black
Asus ROG Delta,146.37,Circumaural,2040.0,True,False,Closed,Black / Silver
Audeze Maxwell for PlayStation 5,299.0,Circumaural,1050.0,True,True,Closed,Black / Blue
SteelSeries Arctis Nova 1P,53.24,Circumaural,2022.0,True,False,Closed,White
Beyerdynamic T1,0.0,Circumaural,550.0,False,False,Semi-open,Black / Silver
SteelSeries Arctis 7,0.0,Circumaural,2020.0,True,True,Closed,Black
Sennheiser HD 598,279.99,Circumaural,1238.5,False,False,Open,Brown
Sony ZX110 (Black),14.99,Supra-aural,1222.0,True,False,Closed,Black
Sennheiser ‎‎‎HD 450BT Black,99.94,Circumaural,1822.0,True,True,Closed,Black / Gray
Turtle Beach Stealth 700 Gen 2 MAX,149.99,Circumaural,2022.0,True,True,Closed,Black / Silver
Beyerdynamic DT 1770 PRO,529.0,Circumaural,540.0,False,False,Closed,Black
Asus TUF Gaming H1,34.99,Circumaural,2020.0,True,False,Closed,Black
Asus ROG Delta White Edition,149.99,Circumaural,2040.0,True,False,Closed,White
Logitech G335,49.99,Circumaural,2020.0,True,False,Closed,Black / Blue
SteelSeries Arctis Nova 7,164.9,Circumaural,2022.0,True,True,Closed,White / Black
JBL Quantum 910,299.95,Circumaural,2020.0,True,True,Closed,Black
Sennheiser HD 599,129.94,Circumaural,1238.5,False,False,Open,White / Brown
Sennheiser HD 660 S,679.99,Circumaural,1041.0,False,False,Open,Black
Sony XM5,398.0,Circumaural,440.0,True,True,Closed,Silver
HP HyperX Cloud Alpha S,99.99,Circumaural,1327.0,True,False,Closed,Blue / Black
