name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 980 Pro,169.99,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,60.99,1000.0,0.061,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,97.5,1000.0,0.098,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro,318.35,4000.0,0.08,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,69.98,1000.0,0.07,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,106.13,1000.0,0.106,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,169.99,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,117.99,2000.0,0.059,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,156.99,2000.0,0.078,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X,91.92,1000.0,0.092,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,2302.98,16000.0,0.144,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston NV2,118.0,2000.0,0.059,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,104.99,1000.0,0.105,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN770,84.15,1000.0,0.084,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,36.99,512.0,0.072,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,1189.99,8000.0,0.149,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,69.94,500.0,0.14,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,60.99,1000.0,0.061,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,479.99,24000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 990 Pro,110.08,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,71.0,1000.0,0.071,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,42.99,500.0,0.086,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,138.82,2000.0,0.069,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,309.99,4000.0,0.077,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,79.99,4000.0,0.02,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,149.99,2000.0,0.075,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,39.18,1000.0,0.039,7200,64.0,3.5,SATA 6.0 Gb/s
Crucial P3 Plus,237.99,4000.0,0.059,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Intel 750,2488.87,1200.0,2.074,SSD,0.0,PCIe,PCIe x4
Samsung 870 Evo,189.99,2000.0,0.095,SSD,2048.0,2.5,SATA 6.0 Gb/s
Silicon Power UD90,108.99,2000.0,0.054,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,64.98,1000.0,0.065,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,60.99,1000.0,0.061,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,114.99,2000.0,0.057,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,61.99,1000.0,0.062,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,124.0,2000.0,0.062,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,0.0,2000.0,0.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,594.9,8000.0,0.074,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial T700,426.99,4000.0,0.107,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate BarraCuda,45.0,1000.0,0.045,7200,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,105.99,2000.0,0.053,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,89.99,1000.0,0.09,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,138.99,2000.0,0.069,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,51.6,500.0,0.103,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,599.99,24000.0,0.025,7200,512.0,3.5,SATA 6.0 Gb/s
Crucial T705,484.99,4000.0,0.121,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO,89.99,1000.0,0.09,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X2
Kingston KC3000,162.99,2048.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,322.62,4000.0,0.081,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,129.99,8000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,79.98,500.0,0.16,SSD,512.0,2.5,SATA 6.0 Gb/s
Crucial T700,151.99,1000.0,0.152,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Kingston A400,27.99,240.0,0.117,SSD,0.0,2.5,SATA 6.0 Gb/s
