name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core,39.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Razer Huntsman Mini,99.99,Mini,Razer Purple Optical Clicky,RGB,TRUE,Wired,White
Microsoft Natural Desktop 7000,769.95,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black / Silver
RK Royal Kludge RK61,49.99,Mini,RK Red,White,TRUE,"Wired, Wireless, Bluetooth Wireless",White
SteelSeries Apex Pro TKL (2023),249.99,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K120,12.34,Standard,Unknown,Unknown,FALSE,Wired,Black
Redragon K552,33.99,Gaming,Outemu Blue,Red,TRUE,Wired,Black
Logitech G915 Lightspeed,199.97,Gaming,Logitech GL Tactile,RGB,FALSE,Wireless,Black
Razer Huntsman Mini,95,Mini,Razer Red Optical Linear,RGB,TRUE,Wired,Black
SteelSeries Apex 3 TKL RGB,35.5,Gaming,Unknown,RGB,TRUE,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro,198.99,Gaming,OmniPoint Adjustable,RGB,FALSE,Wired,Black
Redragon K582 SURARA,39.99,Gaming,Outemu Red,RGB,FALSE,Wired,Black
Logitech G413 SE,49.99,Gaming,Kailh LT Brown,White,TRUE,Wired,Black
Corsair K55 RGB PRO,59.99,Gaming,Unknown,Multicolor,FALSE,Wired,Black
Razer BlackWidow V3,99.99,Gaming,Razer Green,RGB,TRUE,Wired,Black
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,FALSE,Wired,Black
SteelSeries Apex Pro Mini,139.99,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,Wired,Black
Logitech PRO X,199,Gaming,Logitech GX Brown Tactile,RGB,TRUE,"Wired, Wired, Wireless, Bluetooth Wireless",White
Microsoft CXD-00001,0,Ergonomic,Unknown,Unknown,FALSE,Bluetooth Wireless,Black
SteelSeries Apex 100,19.44,Gaming,Unknown,Blue,FALSE,Wired,Black
Verbatim 99201,10,Standard,Unknown,Unknown,FALSE,Wired,Black
Corsair K100 RGB,174.99,Gaming,Corsair OPX,RGB,FALSE,Wired,Black
Asus ROG Azoth,169.99,Mini,ROG NX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G715,161.88,Gaming,GX Brown,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Logitech G PRO,99.99,Gaming,GX Blue,RGB,TRUE,Wired,Black
Tecware Tecware Phantom L,19.98,Gaming,Outemu Brown,RGB,TRUE,Wired,Black / Silver
