name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,38.99,43200,28,2.437,Black / Yellow,10.0,16.0
Corsair Vengeance 32 GB,113.99,55600,216,3.562,Black,12.857,36.0
G.Skill Trident Z5 RGB 32 GB,117.99,56000,216,3.687,Black,12.0,36.0
Corsair Vengeance 32 GB,114.99,56000,216,3.593,Black / Gray,10.0,30.0
Corsair Vengeance RGB Pro 32 GB,94.99,43600,216,2.968,Black,10.0,18.0
G.Skill Trident Z5 RGB 64 GB,217.99,56400,232,3.406,Black / Silver,10.0,32.0
Corsair Vengeance LPX 32 GB,69.98,43600,216,2.187,Black / Yellow,10.0,18.0
Corsair Vengeance RGB 32 GB,127.99,56000,216,4.0,White,12.0,36.0
TEAMGROUP T-Force Delta RGB 32 GB,106.99,56000,216,3.343,White,10.0,30.0
TEAMGROUP T-Force Delta RGB 32 GB,106.99,56000,216,3.343,Black,10.0,30.0
Corsair Vengeance RGB Pro 16 GB,55.99,43200,28,3.499,Black,10.0,16.0
Corsair Vengeance 16 GB,74.98,55200,28,4.686,Black,15.385,40.0
G.Skill Flare X5 32 GB,102.99,56000,216,3.218,Black,12.0,36.0
G.Skill Trident Z5 Neo RGB 32 GB,112.99,56000,216,3.531,Black,10.0,30.0
Silicon Power GAMING 16 GB,32.97,43200,28,2.061,Black / Gray,10.0,16.0
Corsair Vengeance 64 GB,159.99,55200,232,2.5,Black,15.385,40.0
G.Skill Ripjaws V 16 GB,3914.75,44800,28,244.672,Black,7.083,17.0
G.Skill Flare X5 32 GB,104.99,56000,216,3.281,Black,10.0,30.0
TEAMGROUP T-Create Expert 32 GB,97.99,56000,216,3.062,Black,10.0,30.0
G.Skill Ripjaws V 16 GB,37.0,43200,28,2.312,Black,10.0,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,32.99,43200,28,2.062,Black,10.0,16.0
Corsair Vengeance RGB 32 GB,134.99,56000,216,4.218,Black,13.333,40.0
Corsair Vengeance RGB 32 GB,109.99,56000,216,3.437,Black,12.0,36.0
