name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 Hero,39.99,Optical,Wired,25600.0,Right,Black
Logitech G305 LIGHTSPEED,39.99,Optical,"Wired, Wireless",12000.0,Right,Black
Logitech PRO X Superlight 2,149.0,Optical,"Wired, Wireless",32000.0,Right,Black
Razer Basilisk V3,49.98,Optical,Wired,26000.0,Right,Black
FinalMouse Air58 Ninja,574.99,Optical,Wired,3200.0,Right,Blue
Logitech PRO X Superlight 2,153.33,Optical,"Wired, Wireless",32000.0,Right,White
Logitech G Pro X Superlight,110.0,Optical,Wireless,25400.0,Right,Black
Razer DeathAdder Essential,21.99,Optical,Wired,6400.0,Right,White
Logitech G502 LIGHTSPEED,89.99,Optical,Wireless,25600.0,Right,Black
Logitech G305 LIGHTSPEED,48.0,Optical,"Wired, Wireless",12000.0,Right,White
Logitech G502 X Plus,123.68,Optical,"Wired, Wired, Wireless",25600.0,Right,Black
Razer Basilisk V3 Pro + Mouse Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Logitech G Pro X Superlight,114.99,Optical,Wireless,25400.0,Right,White
Logitech G Pro,87.17,Optical,"Wired, Wireless",25600.0,Both,Black
Logitech G203 Lightsync,29.46,Optical,Wired,8000.0,Right,Black
Glorious Model O-,79.99,Optical,"Wired, Wireless",19000.0,Right,White
Logitech G502 X Plus,157.87,Optical,"Wired, Wired, Wireless",25600.0,Right,White
Razer DeathAdder V3 Pro,141.99,Optical,Wireless,30000.0,Right,Black
SteelSeries Rival 3,29.97,Optical,Wired,8500.0,Right,Black
Razer Viper V2 Pro,99.99,Optical,Wireless,30000.0,Right,Black
Razer Viper V3 Pro,159.99,Optical,"Wired, Wireless",35000.0,Right,Black
Redragon COBRA M711,19.98,Optical,Wired,10000.0,Right,Black / Multicolor
Razer DeathAdder V3,69.98,Optical,Wired,30000.0,Right,Black
Razer Viper V2 Pro,99.99,Optical,Wireless,30000.0,Right,White
Logitech B100,7.99,Optical,Wired,800.0,Unknown,Black
Razer Basilisk X HyperSpeed,59.99,Optical,Wireless,16000.0,Right,Black / Green
Glorious MODEL O,49.99,Optical,Wired,12000.0,Right,Black
Glorious Model O,91.57,Optical,Wireless,19000.0,Right,White
Razer Naga V2 Pro,179.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Razer DeathAdder Essential,23.8,Optical,Wired,6400.0,Right,Black / Green
Razer Basilisk V3 Pro,155.33,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000.0,Right,Gray
Logitech G700s,299.99,Laser,Wireless,8200.0,Right,Black
Razer DeathAdder Essential,27.93,Optical,Wired,6400.0,Right,Black / Green
Corsair M65 RGB ELITE,44.21,Optical,Wired,17997.0,Right,Black
Logitech G102 LIGHTSYNC RGB,24.13,Optical,Wired,8000.0,Right,Black
Razer DeathAdder V3 Pro,132.74,Optical,Wireless,30000.0,Right,White
Glorious Model O-,69.99,Optical,"Wired, Wireless",19000.0,Right,Black
Logitech G502 X,74.14,Optical,Wired,25600.0,Right,Black
Razer DeathAdder V2 X HyperSpeed,48.0,Optical,"Wireless, Bluetooth Wireless",14000.0,Right,Black
Razer Viper Ultimate w/Dock,156.9,Optical,Wireless,20000.0,Both,Black
Corsair NIGHTSWORD RGB,69.98,Optical,Wired,18000.0,Right,Black
Asus ROG Chakram X Origin,129.0,Optical,"Wired, Wireless, Bluetooth Wireless",36000.0,Right,Black
Asus ROG Keris II WL Ace,139.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000.0,Right,Black
Razer Basilisk V3 Pro,159.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,White / Black
Razer Viper 8KHz,55.2,Optical,Wired,20000.0,Both,Black
Corsair DARK CORE RGB PRO SE,85.0,Optical,Wireless,18000.0,Right,Black
Razer Basilisk Ultimate,219.0,Optical,Wireless,20000.0,Right,Black
Logitech G502 Proteus Spectrum,66.98,Optical,Wired,12000.0,Right,Black
Razer Viper V3 HyperSpeed,66.44,Optical,Wireless,30000.0,Right,Black
Razer Viper V3 Pro,159.99,Optical,"Wired, Wireless",35000.0,Right,White
Logitech G703 LIGHTSPEED,70.19,Optical,Wireless,25600.0,Right,Black
MSI CLUTCH,14.99,Optical,Wired,4200.0,Right,Black
Logitech G502 X,119.99,Optical,"Wired, Wired, Wireless",25600.0,Right,Black
Corsair SCIMITAR RGB ELITE,79.5,Optical,Wired,18000.0,Right,Black
Logitech G203 Lightsync,28.32,Optical,Wired,8000.0,Right,White
Verbatim Bravo,7.5,Optical,Wired,0.0,Both,Black
Razer DeathAdder V2 Pro,64.98,Optical,Wireless,20000.0,Right,Black
HP HyperX Pulsefire Haste,39.99,Optical,Wired,16000.0,Right,Black
Logitech G502 X,59.0,Optical,Wired,25600.0,Right,White
Asus ROG HARPE ACE AIM LAB EDITION,129.99,Optical,"Wired, Wireless",36000.0,Right,Black
Razer Cobra,36.6,Optical,Wired,8500.0,Right,Black
Razer DeathAdder V2,0.0,Optical,Wired,20000.0,Right,Black
Lenovo GX30M39704 300,4.99,Laser,Wired,0.0,Both,Black / Orange
Logitech TrackMan,399.95,Trackball,Wireless,0.0,Right,Black / Silver
SteelSeries Rival 3,37.61,Optical,Wireless,18000.0,Right,Black
SteelSeries Rival 600,33.5,Optical,Wired,12000.0,Right,Black
EVGA X20,19.98,Optical,"Wired, Wireless, Bluetooth Wireless",16000.0,Right,Black / Silver
Microsoft L2 Wireless Mouse 5000,138.06,Optical,Wireless,0.0,Both,Black
Corsair HARPOON RGB,44.99,Optical,Wireless,10000.0,Right,Black
SteelSeries Aerox 9,149.99,Optical,Wireless,18000.0,Right,Black
Razer Viper Mini,79.98,Optical,Wired,8500.0,Right,Black
SteelSeries Aerox 5,118.99,Optical,"Wired, Wired, Wireless, Bluetooth Wireless",18000.0,Right,Black
Logitech G402,33.83,Optical,Wired,4000.0,Right,Black
Razer Pro Click,82.99,Optical,Wireless,16000.0,Right,White
Glorious Model O,147.19,Optical,Wireless,19000.0,Right,Black
SteelSeries Aerox 3 (2022),75.95,Optical,"Wired, Wireless, Bluetooth Wireless",18000.0,Right,White
Logitech MX Master 3,106.35,Laser,Wireless,4000.0,Right,Black / Silver
Glorious Model O 2,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Monoprice Essential,8.77,Optical,Wired,0.0,Both,Black
Corsair NIGHTSABRE RGB,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Razer Viper Ultimate,149.99,Optical,Wireless,20000.0,Both,White
Logitech G403 HERO,47.68,Optical,Wired,25600.0,Right,Black / Blue
Corsair HARPOON RGB PRO,38.94,Optical,Wired,12000.0,Right,Black
HP HyperX Pulsefire Haste,60.99,Optical,Wireless,16000.0,Right,Black
Redragon M602,19.98,Optical,Wired,7200.0,Right,Black
Glorious Model O 2,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Glorious MODEL D,49.99,Optical,Wired,12000.0,Right,White
Logitech G600 MMO Gaming Mouse,116.78,Laser,Wired,8200.0,Right,Black
SteelSeries Rival 5,49.43,Optical,Wired,18000.0,Right,Black
Asus ROG Keris II WL Ace,139.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000.0,Right,White
Logitech MX MASTER 3S,91.27,Optical,Wireless,8000.0,Right,White
Glorious MODEL O,49.99,Optical,Wired,12000.0,Right,White
Razer Naga Pro,109.48,Optical,Wireless,20000.0,Right,Black
Razer Cobra Pro,116.9,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Logitech PRO X Superlight 2,159.0,Optical,"Wired, Wireless",32000.0,Right,Pink
Asus P707 ROG SPATHA X,126.99,Optical,Wireless,19000.0,Right,Black
SteelSeries Rival 650 Wireless,59.99,Optical,Wireless,12000.0,Right,Black
Logitech G Pro X Superlight,159.99,Optical,Wireless,25400.0,Right,Red
Razer Naga Trinity,166.87,Optical,Wired,16000.0,Right,Black
HP HyperX Pulsefire Core RGB,29.99,Optical,Wired,6200.0,Right,Black
Corsair SCIMITAR ELITE WIRELESS MMO,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Logitech MX MASTER 3S,85.99,Optical,Wireless,8000.0,Right,Black
Logitech M330 SILENT PLUS,14.99,Optical,Wireless,1000.0,Right,Black
Redragon M908 IMPACT MMO,40.48,Optical,Wired,12400.0,Right,Black
AOC GM500,9.94,Optical,Wired,5000.0,Both,Black
Corsair M65 RGB ULTRA WIRELESS,109.99,Optical,Wireless,26000.0,Right,Black / Silver
