name,price,channels,digital_audio,snr,sample_rate,chipset,interface
Creative Labs Sound Blaster AE-9,332.49,7.1,32.0,129.0,384.0,Sound Core3D,PCIe x1
Creative Labs Sound BlasterX AE-5 Plus,139.99,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Asus Xonar SE,39.99,5.1,24.0,120.0,192.0,Unknown,PCIe x1
Creative Labs Sound Blaster Audigy Rx,58.99,7.1,24.0,106.0,192.0,Creative E-MU,PCIe x1
Creative Labs Sound Blaster Z SE,95.99,5.1,24.0,116.0,192.0,Sound Core3D,PCIe x1
Creative Labs Sound Blaster AE-7,199.99,5.1,32.0,127.0,384.0,Sound Core3D,PCIe x1
Asus Xonar Phoebus,0.0,7.1,24.0,118.0,96.0,C-Media CMI8888DHT,PCIe x1
Creative Labs Sound Blaster Audigy Fx V2,49.99,5.1,24.0,120.0,192.0,Unknown,PCIe x1
Asus STRIX SOAR,109.15,7.1,24.0,116.0,192.0,Unknown,PCIe x1
Creative Labs 70SB157000000,39.99,5.1,0.0,106.0,0.0,Unknown,PCIe x1
Asus STRIX RAID DLX,134.18,7.1,24.0,124.0,192.0,Unknown,PCIe x1
Asus Xonar Essence STX,0.0,7.1,24.0,124.0,192.0,ASUS AV100,PCIe x1
Creative Labs Sound BlasterX AE-5 Plus Pure,0.0,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Asus Xonar AE,69.99,7.1,24.0,110.0,192.0,Unknown,PCIe x1
Asus STRIX RAID PRO,129.99,7.1,24.0,116.0,192.0,Unknown,PCIe x1
Creative Labs Sound Blaster Zx,0.0,5.1,24.0,116.0,192.0,Unknown,PCIe x1
Creative Labs Sound Blaster Audigy Fx,0.0,5.1,24.0,106.0,192.0,Unknown,PCIe x1
Creative Labs Sound Blaster X-Fi Titanium HD,0.0,7.1,24.0,122.0,96.0,X-Fi,PCIe x1
Creative Labs Sound Blaster Z w/Shield,0.0,5.1,24.0,116.0,192.0,Sound Core3D,PCIe x1
EVGA NU AUDIO PRO,0.0,2.0,32.0,123.0,384.0,Unknown,PCIe x1
Creative Labs Sound BlasterX AE-5,0.0,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Asus Essence STX II,0.0,2.0,24.0,124.0,192.0,ASUS AV100,PCIe x1
Creative Labs Sound BlasterX AE-5 Pure,0.0,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Asus Xonar DX,0.0,7.1,24.0,116.0,192.0,ASUS AV100,PCIe x1
Asus Essence STX II 7.1,0.0,7.1,24.0,124.0,192.0,ASUS AV100,PCIe x1
Asus Xonar DGX,0.0,5.1,24.0,105.0,96.0,C-Media CMI8786,PCIe x1
Creative Labs ZXR,0.0,5.1,24.0,124.0,192.0,Unknown,PCIe x1
