name,price,configuration,wattage,frequency_response,color
Kanto TUK,799.99,2.0,260.0,5020.0,Black
Creative Labs Pebble 2.0,18.99,2.0,4.4,10017.0,Black
Creative Labs Pebble 2.0,18.99,2.0,4.4,10017.0,White
Logitech Z906,395.81,5.1,500.0,3520.0,Unknown
Logitech Z207 (Black),59.39,2.0,0.01,0.0,Black
Razer Leviathan V2 X,98.99,2.0,65.0,8520.0,Black
Logitech G560,179.99,2.1,120.0,4018.0,Black
Kanto TUK,799.99,2.0,260.0,5020.0,White / Black
Edifier MR4,129.99,2.0,42.0,6020.0,White
Razer Leviathan V2 Pro,499.99,5.1,0.0,4020.0,Black
Razer NOMMO PRO,525.64,2.1,0.0,3520.0,Black
Logitech Z623,169.99,2.1,200.0,3520.0,Unknown
Klipsch R-51PM,399.99,2.0,120.0,6821.0,Black
Klipsch ProMedia 2.1,119.99,2.1,120.0,3120.0,Unknown
Logitech Z213,48.49,2.1,7.0,6520.0,Unknown
Creative Labs Pebble Plus,39.84,2.1,8.0,5020.0,Black
Edifier MR4,129.99,2.0,42.0,6020.0,Black
Logitech X-540,643.37,5.1,70.0,4020.0,Unknown
Creative Labs Pebble Pro,49.99,2.0,30.0,8020.0,Black / Copper
Yamaha HS7 W,349.99,1.0,95.0,4330.0,Unknown
Logitech Z200,0.0,2.0,10.0,2020.0,Unknown
Logitech Z333,89.99,2.1,40.0,5520.0,Unknown
Logitech S-150,12.66,2.0,1.2,9020.0,Unknown
Bose Companion 2 Series III,79.0,2.0,0.0,0.0,Unknown
SteelSeries Arena 9 US,463.99,5.1,0.0,3520.0,Black
Audioengine A5+ Black,399.0,2.0,100.0,5022.0,Unknown
NZXT Relay,249.99,2.0,80.0,7020.0,White / Black
Logitech Z313,59.99,2.1,25.0,4820.0,Unknown
Logitech Z407,114.99,2.1,40.0,4020.0,Black
Cyber Acoustics CA-2016WB,13.5,2.0,3.0,26020.0,Unknown
Razer NOMMO CHROMA,139.99,2.0,0.0,2020.0,Black
Creative Labs Pebble V2,28.49,2.0,8.0,10017.0,Black / Copper
Logitech S150,12.66,2.0,2.4,9020.0,Black
Creative Labs Pebble V3,34.99,2.0,8.0,10017.0,Black / Copper
Yamaha HS8,398.99,2.0,120.0,3830.0,Unknown
Logitech Z150,29.99,2.0,0.0,0.0,Unknown
Razer Leviathan V2,245.0,2.1,65.0,4520.0,Black
Kanto YU2MW,189.99,2.0,50.0,8020.0,White / Black
Cyber Acoustics CA-3090,32.99,2.1,10.0,16020.0,Unknown
SteelSeries Arena 9 EU,0.0,5.1,0.0,3520.0,Black
NZXT Relay,249.99,2.0,80.0,7020.0,Black
Edifier R1280DB-Brown,149.99,2.0,42.0,5520.0,Brown / Black
Logitech Z323,79.98,2.1,30.0,5520.0,Unknown
Mackie MR624,229.99,1.0,65.0,3820.0,Black
Edifier R1700BT,175.99,2.0,66.0,6020.0,Black / Brown
Creative Labs T60,69.98,2.0,60.0,5020.0,Black / Gold
Sony HT-S100F,98.0,2.0,44.0,2020.0,Black
Logitech Z625,190.27,2.1,200.0,0.0,Unknown
Edifier S350DB,399.99,2.1,150.0,4020.0,Black / Brown
Razer Nommo V2 Pro,369.27,2.1,0.0,4020.0,Black
Kanto YU2MB,229.99,2.0,50.0,8020.0,Black
SteelSeries Arena 7 US,299.0,2.1,0.0,3520.0,Black
Creative Labs Inspire T10,0.0,2.0,10.0,8020.0,Unknown
Edifier R1280DB-Black,149.99,2.0,42.0,5520.0,Black
AmazonBasics U213,21.37,2.0,2.2,10320.0,Black
Yamaha NS-SP1800,0.0,5.1,550.0,2850.0,Unknown
Logitech Z207 (White),0.0,2.0,0.01,0.0,White
Logitech Z533,126.99,2.1,60.0,5520.0,Unknown
