name,price,amount
Arctic Silver 5 High-Density Polysynthetic Silver,5.77,3.5
Thermal Grizzly Kryonaut,8.98,1.0
ARCTIC MX-6,6.55,4.0
Prolimatech PK-Zero,160.6,600.0
Thermal Grizzly Kryonaut Extreme,21.99,2.0
Noctua NT-H1,8.94,3.5
ARCTIC MX-4 (2019),5.73,4.0
Corsair TM30,7.99,3.0
Noctua NT-H2,12.95,3.5
Arctic Silver Ceramique 2 Tri-Linear,9.67,2.7
Thermal Grizzly Conductonaut Extreme,74.98,5.0
Corsair XTM70,19.98,3.0
ARCTIC MX-6,10.55,2.0
Thermal Grizzly Kryonaut,23.99,5.5
Noctua NT-H2,30.6,10.0
Prolimatech PK-3 Nano Aluminum High-Grade,11.2,1.5
Thermal Grizzly Kryonaut Extreme,99.99,33.84
ARCTIC MX-6,9.01,8.0
Thermal Grizzly Conductonaut Extreme,19.98,1.0
Thermalright TF7,4.99,2.0
ARCTIC MX-4,0.0,4.0
Corsair XTM50,14.99,5.0
Prolimatech PK-3 Nano Aluminum High-Grade,46.97,30.0
KINGPINcooling KPx,56.66,30.0
ARCTIC MX-4 (2019),8.99,8.0
Thermalright TF9,3.99,1.5
Thermal Grizzly Kryonaut,32.68,11.1
Cooler Master MasterGel Pro,14.99,1.5
KINGPINcooling KPx,9.8,1.0
Thermal Grizzly Hydronaut,13.99,3.9
Arctic Silver 5 High-Density Polysynthetic Silver,20.39,12.0
Prolimatech PK-3 Nano Aluminum High-Grade,24.99,5.0
Gelid Solutions GC-Extreme,9.49,3.5
ARCTIC MX-4,11.47,20.0
KINGPINcooling KPx,28.7,10.0
Thermal Grizzly Conductonaut,13.96,1.0
Cooler Master IC ESSENTIAL E1,6.99,3.75
ARCTIC MX-4 (2019),39.9,45.0
Thermaltake CL-O004-GROSGM-A,9.48,4.0
Thermal Grizzly Aeronaut,9.99,3.9
ARCTIC MX-4,0.0,20.0
Thermalright TF9,5.59,2.9
Cooler Master CryoFuze,5.81,2.0
Deepcool Z5,0.0,3.0
Cooler Master HTK-002,11.34,0.01
Thermaltake CL-O002-GROSGM-A,12.99,40.0
ARCTIC MX-2,0.0,4.0
ARCTIC MX-4 (2019),0.0,2.0
NZXT High-performance,0.0,3.0
Cooler Master MasterGel Maker,22.1,1.5
Cooler Master IC ESSENTIAL E2,0.0,3.5
be quiet! DC1,0.0,3.0
Cooler Master CryoFuze Violet,13.17,2.0
NZXT High-performance,0.0,15.0
StarTech Metal Oxide,9.99,1.5
be quiet! DC2,6.9,3.0
"Innovation Cooling Diamond ""7 Carat""",0.0,1.5
Gelid Solutions GC-Extreme,17.89,10.0
Thermalright TFX,0.0,2.0
ARCTIC MX-5,0.0,4.0
ARCTIC MX-5 Incl. Spatula,47.99,20.0
Prolimatech PK-2 Nano Aluminum High-Grade,9.53,1.5
Thermaltake TG-50,12.99,4.0
Thermalright TF8,30.75,2.0
Arctic Silver Ceramique 2 Tri-Linear,15.35,25.0
Zalman STC9,5.99,4.0
Thermaltake TG-30,11.99,4.0
Deepcool DM9,12.23,1.5
Coollaboratory Liquid Pro,13.12,0.15
ARCTIC MX-5,23.99,2.0
Scythe Thermal Elixer G,16.95,3.5
Thermalright TF4,0.0,1.5
ARCTIC MX-2 2019 Edition,0.0,4.0
Coollaboratory Liquid Ultra,11.33,0.15
Sunbeam Iceberg TS-IB,0.0,1.0
Zalman STC7,5.49,4.0
Deepcool Z3,0.0,1.5
be quiet! C2 Pro,9.9,1.0
Prolimatech PK-1,15.23,5.0
ARCTIC MX-2,0.0,65.0
Zalman STC8,4.99,1.5
Prolimatech PK-2 Nano Aluminum High-Grade,38.77,30.0
Prolimatech PK-1,0.0,30.0
Deepcool EX750,13.58,5.0
Gelid Solutions GC-4,0.0,3.5
Deepcool DP-TIM-Z10-1,0.0,5.0
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,0.0,1.75
Cooler Master IceFusion,0.0,200.0
Prolimatech PK-2 Nano Aluminum High-Grade,16.12,5.0
Cooler Master MasterGel Maker,0.0,4.0
ARCTIC MX-5 Incl. Spatula,0.0,4.0
EK EK-TIM Ectotherm,20.41,5.0
Gelid Solutions GC-4,0.0,10.0
Deepcool DM9,0.0,4.0
Gelid Solutions GC-4,0.0,1.0
TUNIQ TX-4 Extreme Performance,12.99,1.0
Thermaltake CL-O001-GROSGM-A,11.98,1.5
Thermaltake CLZ0022,0.0,4.0
Prolimatech PK-Zero,0.0,300.0
Akasa AK-TCW-03,0.0,5.0
ARCTIC MX-5 Incl. Spatula,0.0,2.0
ARCTIC MX-5 Incl. Spatula,0.0,8.0
ARCTIC MX-5,0.0,20.0
EVGA Frostbite 2,11.11,2.5
StarTech HeatGrease,7.99,20.0
Deepcool EX750,0.0,3.0
Antec Formula 7 Nano Diamond,0.0,4.0
TUNIQ TX-2,0.0,3.5
Antec 77064,0.0,1.0
Deepcool Z9,0.0,3.0
Cooler Master MasterGel Regular,0.0,1.5
Thermalright TF8,0.0,5.8
Thermalright TFX,0.0,6.2
ARCTIC MX-2,0.0,8.0
Enermax ETC521,0.0,3.0
Cooler Master IceFusion,0.0,40.0
Cooler Master ThermalFusion 400,0.0,4.0
Rosewill RCX-TC001,8.0,5.0
Masscool Stars-700,5.99,0.5
ARCTIC MX-2,0.0,65.0
Thermaltake CL-O0028,0.0,4.0
Thermene Graphene,0.0,9.0
ARCTIC MX-5,0.0,8.0
Iceberg Thermal FUZEIce,0.0,7.0
Iceberg Thermal FUZEIce Plus,0.0,7.0
Gelid Solutions GC-Extreme,0.0,10.0
Thermalright TF8 EX,0.0,2.9
Scythe Thermal Elixer 2,11.99,5.0
Phanteks PH-NDC_02,15.99,2.0
NOX Thermal 880,0.0,23.0
Antec Formula 6 Nano Diamond,0.0,4.0
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,0.0,14.0
Zalman ZM - STG1,0.0,3.5
Evercool TC-25,0.0,25.0
Gelid Solutions GC-Supreme,0.0,7.0
Zalman ZM-STG2,0.0,3.5
Xigmatek PTI-G4512,0.0,4.0
TUNIQ TX-2 Extreme,0.0,1.0
Masscool G751 Shin-Etsu,0.0,0.5
Masscool Fanner-420,0.0,2.0
ARCTIC MX-2,0.0,30.0
Arctic Silver Arctic Alumina,0.0,5.0
Rosewill RCX-TC090PRO,0.0,20.0
Xigmatek PTI-G3606,0.0,3.0
Biostar TC-DIAMOND,0.0,1.5
Xigmatek Freezing Point G4718,0.0,4.0
Evercool STC-01,0.0,4.0
Syba CL-PTSL-COOL,0.0,1.5
Prolimatech PK-1,0.0,1.5
Sunbeam GI-1,0.0,3.5
Evercool STC-02,0.0,3.0
Logisys Z5,0.0,3.0
Xigmatek Freezing Point G4718,0.0,4.0
Cooler Master Extreme Fusion X1,0.0,1.5
Prolimatech PK-Zero,0.0,1.5
Prolimatech PK-Zero,0.0,30.0
Prolimatech PK-Zero,13.99,5.0
CRYORIG CP15,0.0,4.0
CRYORIG CP5,0.0,4.0
CRYORIG CP7,0.0,4.0
Innovation Cooling ICD24,0.0,4.8
Thermalright Chill Factor 3,0.0,4.0
Graphitene GTP-5,0.0,3.5
Gelid Solutions GC-2,0.0,7.0
ARCTIC MX-2,0.0,30.0
Cooler Master MasterGel Maker,0.0,1.5
Thermalright Silver King,0.0,1.0
Iceberg Thermal FUZEIce,0.0,3.5
Iceberg Thermal FUZEIce Plus,0.0,3.5
Gelid Solutions GC-Extreme,0.0,1.0
Gelid Solutions GC-Extreme,0.0,3.5
YEYIAN YCT-PHTC-01,0.0,2.0
Thermalright TF8 EX,0.0,1.5
