name,price,resolutions,connection,focus_type,os,fov
OBSBOT Tiny 2,296.0,"4k,2k,1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",85.5
Logitech BRIO Ultra HD Pro,124.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",82.0
Razer Kiyo Pro Ultra,299.99,"4k,2k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,Windows,82.0
Elgato Facecam Pro,299.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",90.0
Anker PowerConf C200,59.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95.0
Insta360 Insta360 Link,249.99,"4k,1080p,720p",USB 2.0 Type-C,Auto,"Windows,OS X",79.5
Logitech C270,24.94,720p,USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60.0
Logitech C922 Pro Stream HD,79.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78.0
Logitech C920s HD Pro,64.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78.0
Razer Kiyo X,39.99,"1080p,720p",USB 2.0 Type-A,Auto,Windows,82.0
Razer Kiyo,45.53,"1080p,720p,480p",USB 2.0 Type-A,Auto,Windows,81.6
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90.0
Logitech C920 HD Pro,0.0,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78.0
Green Extreme T200,14.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",65.0
Razer Kiyo Pro,95.08,"1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,Windows,103.0
Adesso Cybertrack H6,49.99,4k,USB 2.0 Type-A,Fixed,"Windows,OS X",80.0
aoni A31,21.95,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux,ChromeOS,Android",84.0
Adesso CyberTrack H3,12.99,720p,USB 2.0 Type-A,Manual,"Windows,OS X",0.0
Elgato Facecam Premium,129.99,"1080p,720p",USB 3.2 Gen 1 Type-A,Manual,"Windows,OS X",82.0
Logitech C925e,77.02,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux",78.0
Elgato FACECAM MK.2,149.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",84.0
Adesso Cybertrack H2,29.99,480p,USB 2.0 Type-A,Fixed,"Windows,OS X",62.0
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90.0
OBSBOT Tiny 4K,239.0,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",90.0
Logitech StreamCam,131.78,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78.0
Anker B600 Video Bar,199.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95.0
Logitech StreamCam,136.58,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78.0
Asus Webcam C3,49.99,1080p,USB 2.0 Type-A,Unknown,"Windows,OS X,ChromeOS",0.0
Logitech C910,0.0,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78.0
Adesso Cybertrack H4,28.99,1080p,USB 2.0 Type-A,Manual,"Windows,OS X",78.0
Avermedia PW513,149.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",94.0
Logitech C505,37.99,720p,USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60.0
Wansview 101JD,22.99,1080p,USB 2.0 Type-A,Unknown,"Windows,OS X,Android",90.0
Logitech C930e,89.0,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",90.0
Logitech B525,49.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",69.0
Adesso Cybertrack H5,49.08,1080p,USB 2.0 Type-A,Auto,"Windows,OS X",80.0
Logitech StreamCam Plus,139.99,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",0.0
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90.0
Anker PowerConf C302,0.0,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115.0
Asus ROG EYE,0.0,1080p,USB 2.0 Type-A,Auto,"Windows,OS X",0.0
Creative Labs Live! Cam Sync 1080p,44.5,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",77.0
Logitech C505e,25.0,720p,USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60.0
AUKEY PC-LM1,0.0,"1080p,720p,480p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",55.0
Logitech C310,64.95,720p,USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60.0
Logitech C615 Portable,0.0,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78.0
Avermedia PW310P,49.99,1080p,USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",73.0
Avermedia Live Streamer CAM 313,59.99,1080p,USB 2.0 Type-A,Fixed,"Windows,OS X",0.0
Microsoft LifeCam HD-3000,29.99,720p,USB 2.0 Type-A,Fixed,"Windows,OS X",0.0
Green Extreme T1000,129.0,1080p,USB 2.0 Type-A,Auto,"Windows,OS X",120.0
OBSBOT Tiny,0.0,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",86.0
Microsoft LifeCam Studio,0.0,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75.0
Anker PowerConf C300,0.0,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115.0
Logitech C525,89.99,720p,USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",69.0
Avermedia PW315,99.99,1080p,USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",95.8
Avermedia 4K UHD Webcam 510,0.0,"4k,1080p,720p,480p",USB 3.2 Gen 1 Type-C,Unknown,Windows,85.0
Microsoft Lifecam Cinema,64.98,720p,USB 2.0 Type-A,Auto,Windows,73.0
Green Extreme T200 + Live Streaming Bundle,0.0,1080p,USB 2.0 Type-A,Auto,"Windows,OS X,Android",0.0
Microsoft LifeCam Studio for Business,63.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75.0
VDO360 2SEE,124.99,"1080p,720p",USB 2.0 Type-A,Unknown,"Windows,OS X,Linux,Android",75.0
Microsoft LifeCam HD-3000 L2,0.0,720p,USB 2.0 Type-A,Fixed,"Windows,OS X",0.0
Creative Labs BlasterX Senz3D,0.0,"1080p,720p",USB 3.2 Gen 1 Type-A,Auto,Windows,77.0
Creative Labs Live! Cam Sync HD,0.0,720p,USB 2.0 Type-A,Fixed,"Windows,OS X",0.0
Green Extreme T300,0.0,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",94.0
Wansview 105JD,0.0,1080p,USB 2.0 Type-A,Manual,"Windows,OS X,Android",90.0
Wansview 106JD,0.0,1080p,USB 2.0 Type-A,Auto,"Windows,OS X,Android",60.0
Microsoft LifeCam CinemaaFor Business,72.48,720p,USB 2.0 Type-A,Auto,"Windows,OS X",0.0
Avermedia HD Webcam 310,0.0,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",0.0
Wansview 102JD,0.0,1080p,USB 2.0 Type-A,Unknown,"Windows,OS X,Android",90.0
Adesso Cybertrack H4P,0.0,1080p,USB 2.0 Type-A,Manual,"Windows,OS X",78.0
